host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
buyatti,CTGDA,23,aircraft,resnet34,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,6667,3333,93.82,0.342,100.0,0.311,1831.216,8.0156,14.668,70.4553,21.336,
buyatti,CTGDA,23,aircraft,resnet50,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,6667,3333,94.45,0.297,100.0,0.29,2409.5763,9.0312,16.3932,72.8323,23.7129,
DGX-CN02,CTGDA,23,cars,resnet18,,resnet101,cal,True,False,/home/edwinarkelrios.ee08/ckpts/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,8144,8041,94.78,0.293,99.85,0.438,696.7976,6.8496,7.2643,66.6879,11.2771,
vsplab-DGX-Station-A100,CTGDA,23,cars,resnet34,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,8144,8041,94.78,0.332,99.84,0.33,1452.8118,7.4648,14.6681,76.796,21.3852,
vsplab-DGX-Station-A100,CTGDA,23,cars,resnet50,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,8144,8041,94.83,0.291,99.84,0.301,1752.3509,10.2461,16.3934,79.3205,23.9096,
server-3090,CTGDA,23,cub,resnet18,,resnet101,cal,True,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,86.71,0.614,100.0,0.45,1211.8866,8.0156,7.2643,66.9521,11.2791,
server-3090,CTGDA,23,cub,resnet34,,resnet101,cal,True,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,87.42,0.66,100.0,0.342,1572.5211,8.0566,14.6681,77.0602,21.3873,
server-3090,CTGDA,23,cub,resnet50,,resnet101,cal,True,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,87.8,0.61,100.0,0.314,2007.7674,8.6895,16.3934,79.5908,23.9178,
oswin-lab-4070TIs,KD_TGDA,24,aircraft,vit_t16,,resnet101,cal,True,False,/home/oswin/other_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,6667,3333,61.0,2.335,99.55,3.3,1681.824,9.6172,7.1135,54.7756,5.6562,
gpu,KD_TGDA,24,aircraft,vitfs_tiny_patch16_gap_224,,resnet101,cal,True,False,/home2/video/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,6667,3333,1.71,4.588,1.49,15.291,,,,,,
