model_name,dataset_name,val_acc,project_name,serial
ReviewKD*,aircraft,58.79,previous,52
DKD*,aircraft,60.12,previous,52
DSSD,aircraft,70.01,previous,52
RN34FT,aircraft,52.41,previous,52
SnapMix,aircraft,61.32,previous,52
KD,aircraft,55.89,previous,52
DKD,aircraft,59.67,previous,52
DADKD,aircraft,68.52,previous,52
RN34FT*,cars,63.78,previous,52
SnapMix*,cars,76.84,previous,52
KD*,cars,64.83,previous,52
RKD*,cars,64.38,previous,52
CRD*,cars,65.79,previous,52
OFD*,cars,65.63,previous,52
ReviewKD*,cars,73.12,previous,52
DKD*,cars,78.96,previous,52
DSSD,cars,86.24,previous,52
RN34FT,cars,64.73,previous,52
SnapMix,cars,77.45,previous,52
KD,cars,65.12,previous,52
DKD,cars,79.63,previous,52
DADKD,cars,85.34,previous,52
RN34FT*,cub,63.01,previous,52
SnapMix*,cub,67.13,previous,52
KD*,cub,64.88,previous,52
RKD*,cub,64.78,previous,52
CRD*,cub,66.12,previous,52
OFD*,cub,65.83,previous,52
ReviewKD*,cub,67.62,previous,52
DKD*,cub,68.13,previous,52
DSSD,cub,70.21,previous,52
RN34FT,cub,62.79,previous,52
SnapMix,cub,66.63,previous,52
KD,cub,65.52,previous,52
DKD,cub,67.83,previous,52
DADKD,cub,69.9,previous,52
RN50FT*,aircraft,57.96,previous,53
SnapMix*,aircraft,64.07,previous,53
KD*,aircraft,58.76,previous,53
RKD*,aircraft,57.63,previous,53
CRD*,aircraft,58.77,previous,53
OFD*,aircraft,58.63,previous,53
ReviewKD*,aircraft,67.65,previous,53
DKD*,aircraft,61.89,previous,53
DSSD,aircraft,73.01,previous,53
RN50FT,aircraft,58.44,previous,53
SnapMix,aircraft,63.87,previous,53
KD,aircraft,58.22,previous,53
DKD,aircraft,62.13,previous,53
DADKD,aircraft,72.63,previous,53
RN50FT*,cars,68.85,previous,53
SnapMix*,cars,82.13,previous,53
KD*,cars,71.83,previous,53
RKD*,cars,71.87,previous,53
CRD*,cars,72.02,previous,53
OFD*,cars,71.97,previous,53
ReviewKD*,cars,84.82,previous,53
DKD*,cars,85.04,previous,53
DSSD,cars,88.12,previous,53
RN50FT,cars,69.25,previous,53
SnapMix,cars,81.54,previous,53
KD,cars,72.33,previous,53
DKD,cars,84.94,previous,53
DADKD,cars,87.74,previous,53
RN50FT*,cub,65.87,previous,53
SnapMix*,cub,70.78,previous,53
KD*,cub,70.84,previous,53
RKD*,cub,70.09,previous,53
CRD*,cub,72.83,previous,53
OFD*,cub,72.71,previous,53
ReviewKD*,cub,73.81,previous,53
DKD*,cub,76.02,previous,53
DSSD,cub,79.13,previous,53
RN50FT,cub,66.4,previous,53
SnapMix,cub,71.32,previous,53
KD,cub,71.14,previous,53
DKD,cub,75.92,previous,53
DADKD,cub,78.22,previous,53
RN101FT*,aircraft,65.14,previous,54
SnapMix*,aircraft,68.89,previous,54
KD*,aircraft,66.11,previous,54
RKD*,aircraft,64.67,previous,54
CRD*,aircraft,66.39,previous,54
OFD*,aircraft,65.67,previous,54
ReviewKD*,aircraft,68.89,previous,54
DKD*,aircraft,68.54,previous,54
DSSD,aircraft,78.99,previous,54
RN101FT,aircraft,64.91,previous,54
SnapMix,aircraft,69.29,previous,54
KD,aircraft,64.68,previous,54
DKD,aircraft,68.01,previous,54
DADKD,aircraft,78.98,previous,54
RN101FT*,cars,71.84,previous,54
SnapMix*,cars,83.96,previous,54
KD*,cars,76.12,previous,54
RKD*,cars,74.63,previous,54
CRD*,cars,75.32,previous,54
OFD*,cars,74.83,previous,54
ReviewKD*,cars,85.72,previous,54
DKD*,cars,84.89,previous,54
DSSD,cars,89.13,previous,54
RN101FT,cars,72.35,previous,54
SnapMix,cars,83.16,previous,54
KD,cars,75.42,previous,54
DKD,cars,85.69,previous,54
DADKD,cars,88.19,previous,54
RN101FT*,cub,68.12,previous,54
SnapMix*,cub,72.59,previous,54
KD*,cub,71.98,previous,54
RKD*,cub,71.33,previous,54
CRD*,cub,72.55,previous,54
OFD*,cub,71.97,previous,54
ReviewKD*,cub,75.52,previous,54
DKD*,cub,75.68,previous,54
DSSD,cub,81.07,previous,54
RN101FT,cub,67.67,previous,54
SnapMix,cub,73.04,previous,54
KD,cub,72.71,previous,54
DKD,cub,76.38,previous,54
DADKD,cub,80.33,previous,54
RN18FT_rn18,aircraft,88.27,previous,23
Mixup_rn18,aircraft,87.82,previous,23
CutMix_rn18,aircraft,88.78,previous,23
Cutout_rn18,aircraft,88.03,previous,23
InPS_rn18,aircraft,89.08,previous,23
SnapMix_rn18,aircraft,89.32,previous,23
S3Mix_rn18,aircraft,89.53,previous,23
S3Mix+_rn18,aircraft,89.8,previous,23
MixUp*_rn18,aircraft,89.82,previous,23
CutMix*_rn18,aircraft,89.44,previous,23
SnapMix*_rn18,aircraft,90.17,previous,23
CEKD*_rn18,aircraft,91.29,previous,23
RN18FT_rn18,cars,91.51,previous,23
Mixup_rn18,cars,91.56,previous,23
CutMix_rn18,cars,92.24,previous,23
Cutout_rn18,cars,91.46,previous,23
InPS_rn18,cars,91.98,previous,23
SnapMix_rn18,cars,92.24,previous,23
S3Mix_rn18,cars,92.63,previous,23
S3Mix+_rn18,cars,92.95,previous,23
